"Farm_ID","X2a.Total.Cattle.2010","X2b.Total.Sheep.2010","X2c.Total.Goats.2010","X4a.Cows.Abort.2010","X4a.Ewes.Abort.2010","X4a.Does.Abort.2010","X4b.AdultCattle.Die.2010","X4b.Calves.Die.2010","X4b.AdultSheep.Die.2010","X4b.Lambs.Die.2010","X4b.AdultGoats.Die.2010","X4b.GoatKids.Die.2010","X5.RVF.Vax.before.Outbreak.2010","X6.RVF.Vax.During.Outbreak.2010","X3.Outbreak","Max.Dist.Purch.Ave","f9.Prct.Access.to.Pan.Ave","f9.Pan.Num.Ave","Num_Natural_WaterSources.Ave","f14.Size.Farm.15","f2.Communal.or.Private.15","f18.Production.15","District","CumSum.2m.Rain","Prct.Rain.Days.2m","Ave.2m.CumSum","CumSum.2m.Rain_Oct","Prct.Rain.Days.2m_Oct","TotalPopDomR_2010","TotalRVFDeathsDomR.2010","TotalRVFAbortionsDomR.2010","PrctRVFAbort.2010","PrctRVFDeath.2010","PrctCattle_Ave.2010","PrctGoats_Ave.2010","X2a.Total.Cattle.2010.Stand","X2b.Total.Sheep.2010.Stand","X2c.Total.Goats.2010.Stand","Sum.Ruminants.Gained.Ave.Stand","Max.Dist.Purch.Ave.Stand","f14.Size.Farm.15.Stand","f9.Pan.Num.Ave.Stand","Num_Natural_WaterSources.Ave.Stand","CumSum.2m.Rain.Stand","TotalPopDomR_2010.Stand","TotalRVFDeathsDomR.2010.Stand","TotalRVFAbortionsDomR.2010.Stand","Prct.Rain.Days.2m.Stand","PrctSheep_Ave.2010","PrctGoats_Ave.2010.Stand","CumSum.2m.Rain_Oct.Stand","Prct.Rain.Days.2m_Oct.Stand","Sheep.Present.2010","Cattle.Present.2010","Goats.Present.2010"
"001b",550,300,0,0,30,0,26,0,5,10,0,0,0,1,1,0,0,0,5.5,5500,"P","Commercial","Boshof",258.968477,0.516666666666667,271.076835666667,203.883778,0.516666666666667,850,41,30,0.0352941176470588,0.0482352941176471,0.647058823529412,0,1.04262493275415,-0.275919772467669,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.902423987603064,-0.575962463956698,-0.266762153385821,-0.857019864773032,0.0607171941960598,0.782380787291935,0.0919574495698589,0.336568372893524,0.352941176470588,-0.302113189811343,0.0326421609716993,0.577780821071235,1,1,0
"003h",120,1500,0,0,468,0,0,0,135,0,0,0,0,1,1,0,60,3.25,11.5,2096,"P","Commercial","Herbert",257.304971,0.5,254.597278222222,161.885366,0.483333333333333,1620,135,468,0.288888888888889,0.0833333333333333,0.0740740740740741,0,-0.155767835163212,0.841352800372562,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.158643636903407,1.49909860711131,0.320604055904061,-0.905692757672706,0.756090117314048,3.48536862210144,6.01509905421666,-0.0146334075171093,0.925925925925926,-0.302113189811343,-1.06855039363992,-0.365534805167519,1,1,0
"006b",400,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,2,25,11700,"P","Commercial","Boshof",260.354684,0.533333333333333,271.006554333333,185.432035,0.483333333333333,550,0,0,0,0,0.727272727272727,0,0.624580943945767,-0.415578844072698,-0.24450260126359,-0.158907765236155,-0.136464600747222,2.83503834481227,0.700998195162079,1.6421780268063,-0.81646052513267,-0.210207321304455,-0.39658199172072,-0.313737180885401,0.687770153304134,0.272727272727273,-0.302113189811343,-0.451159988766894,-0.365534805167519,1,1,0
"008h",70,1800,0,7,80,0,8,0,120,0,0,0,0,1,1,0,50,3.5,7.5,850,"P","Semi-Commercial","Herbert",254.37678,0.5,256.097747333333,150.845637,0.466666666666667,1870,128,87,0.046524064171123,0.0684491978609626,0.0374331550802139,0,-0.295115831432673,1.12067094358262,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.547036780303837,1.65871868950116,-0.0709734169558607,-0.991369350923823,0.98186054689781,3.28408229397732,0.862777247434853,-0.0146334075171093,0.962566844919786,-0.302113189811343,-1.35801056131793,-0.837192618286868,1,1,0
"009b",100,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.5,1,8.5,517,"P","Semi-Commercial","Boshof",324.04662,0.533333333333333,272.358704888889,239.82223,0.5,300,0,0,0,0,0.333333333333333,0,-0.211507033670996,-0.369025820204355,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.650836874005557,0.0625178656026901,0.0269209512591196,1.04711602914542,-0.435977750888217,-0.39658199172072,-0.313737180885401,0.687770153304134,0.666666666666667,-0.302113189811343,0.974943402425,0.106123007951857,1,1,0
"011b",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,584,"P","Small holder","Brandfort",319.71279,0.55,276.553913,249.06794,0.516666666666667,50,0,0,0,0,1,0,-0.350855029940457,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.629952170467973,-0.575962463956698,-0.511498073923272,0.920311531033965,-0.661748180471979,-0.39658199172072,-0.313737180885401,1.03897193371477,0,-0.302113189811343,1.2173646400208,0.577780821071235,0,1,0
"014k",184,700,0,0,5,0,0,0,0,8,0,0,1,0,1,0,55,1.5,7,1080,"P","Commercial","Kimberley",248.219867,0.5,258.898327777778,146.061983,0.466666666666667,884,8,5,0.00565610859728507,0.00904977375565611,0.208144796380091,0,0.0225976000616975,0.0965044184790749,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.475343021891237,0.381758030382384,-0.119920601063351,-1.17151584095248,0.0914219726194515,-0.166540473864593,-0.246121409142858,-0.0146334075171093,0.791855203619909,-0.302113189811343,-1.48343730765868,-0.837192618286868,1,1,0
"015b",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147,"P","Semi-Commercial","Bloemfontein",295.28356,0.516666666666667,264.213055,240.73865,0.5,20,0,0,0,0,1,0,-0.434463827702133,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.766170311451912,-0.575962463956698,-0.511498073923272,0.20553124445158,-0.688840632022031,-0.39658199172072,-0.313737180885401,0.336568372893524,0,-0.302113189811343,0.998971808091796,0.106123007951857,0,1,0
"016s",60,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1600,"P","Commercial","Smithfield",301.933913,0.45,356.710262333333,216.645527,0.533333333333333,4060,0,0,0,0,0.0147783251231527,0,-0.322985430686565,3.16900399378971,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.313252785480143,-0.575962463956698,-0.609392442138253,0.400115405442902,2.95960951005157,-0.39658199172072,-0.313737180885401,-1.06823874874899,0.985221674876847,-0.302113189811343,0.367253454908773,1.04943863419058,1,1,0
"024k",0,500,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,13.5,4000,"P","Commercial","Koffiefontein",271.02728,0.433333333333333,274.417392888889,177.072767,0.5,500,30,0,0,0.06,0,0,-0.490203026209918,-0.0897076769942969,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.434855997955677,-0.575962463956698,0.516392792334021,-0.504188659525034,-0.255361407221207,0.466073700239759,-0.313737180885401,-1.41944052915962,1,-0.302113189811343,-0.670338839710192,0.106123007951857,1,0,0
